movietitle,language,status,releasedate,revenue,voteaverage
The Suicide Squad,English,Released,7/28/2021,72200000,8.5
The Boss Baby: Family Business,English,Released,7/1/2021,70324240,7.8
Luca,English,Released,6/17/2021,11600000,8.7
Endangered Species,English,Released,5/27/2021,55217,7
Old,English,Released,7/21/2021,55283145,6.3
The Conjuring: The Devil Made Me Do It,English,Released,5/25/2021,183832753,7.9
The Unholy,English,Released,3/31/2021,30763855,6.9
HarryPotter,English,Released,7/4/2001,5678905,9.7
Kantara,Kannada,Released,7/30/2022,4000000000,9
,,,,,
,,,,,
